Backend,Driver,Format,RW,BS,IODepth,Numjobs,Round,BW(MiB/s),IOPS,LAT(ms),Util(%)
nvme-ssd,IDE,raw,read,4k,1,16,1,70.9297,18158,0.8800,99.9516
nvme-ssd,SCSI,raw,read,4k,1,16,1,397.6104,101788,0.1558,99.9116
nvme-ssd,IDE,raw,read,4k,8,16,1,211.1602,54057,2.3673,100.0000
nvme-ssd,SCSI,raw,read,4k,8,16,1,475.7568,121793,1.0499,100.0000
nvme-ssd,IDE,raw,read,4k,64,16,1,283.4668,72567,14.1098,99.9500
nvme-ssd,IDE,xfs,read,4k,1,16,1,55.4736,14201,1.1254,99.8735
nvme-ssd,SCSI,xfs,read,4k,1,16,1,390.5615,99983,0.1586,99.9233
nvme-ssd,IDE,xfs,read,4k,8,16,1,166.2314,42555,3.0072,99.8899
nvme-ssd,SCSI,xfs,read,4k,8,16,1,475.2266,121658,1.0508,100.0000
nvme-ssd,IDE,xfs,read,4k,64,16,1,312.3848,79970,12.8030,99.8799
nvme-ssd,SCSI,raw,read,4k,64,16,1,477.3555,122203,8.3769,100.0000
nvme-ssd,SCSI,xfs,read,4k,64,16,1,475.0908,121623,8.4097,100.0000
nvme-ssd,IDE,raw,read,16k,1,16,1,200.3945,12825,1.2465,99.8833
nvme-ssd,IDE,xfs,read,16k,1,16,1,149.4150,9562,1.6720,99.8749
nvme-ssd,SCSI,raw,read,16k,1,16,1,1050.8115,67251,0.2364,99.9083
nvme-ssd,SCSI,xfs,read,16k,1,16,1,1045.1562,66890,0.2377,99.9183
nvme-ssd,IDE,raw,read,16k,8,16,1,294.2803,18833,6.7953,99.8816
nvme-ssd,IDE,xfs,read,16k,8,16,1,318.3994,20377,6.2806,99.8949
nvme-ssd,SCSI,raw,read,16k,8,16,1,1748.3555,111894,1.1431,100.0000
nvme-ssd,SCSI,xfs,read,16k,8,16,1,1743.5771,111588,1.1462,100.0000
nvme-ssd,IDE,raw,read,16k,64,16,1,294.2354,18831,54.3716,99.8999
nvme-ssd,IDE,xfs,read,16k,64,16,1,304.1250,19464,52.6018,99.8799
nvme-ssd,SCSI,raw,read,16k,64,16,1,1780.9023,113977,8.9814,100.0000
nvme-ssd,SCSI,xfs,read,16k,64,16,1,1782.7471,114095,8.9637,100.0000
nvme-ssd,IDE,raw,read,64k,1,16,1,302.6318,4842,3.3029,99.8833
nvme-ssd,IDE,xfs,read,64k,1,16,1,306.1475,4898,3.2649,99.8849
nvme-ssd,SCSI,raw,read,64k,1,16,1,1685.2471,26963,0.5918,99.8799
nvme-ssd,SCSI,xfs,read,64k,1,16,1,1660.7764,26572,0.6005,99.8799
nvme-ssd,IDE,raw,read,64k,8,16,1,297.8555,4765,26.8543,99.8733
nvme-ssd,IDE,xfs,read,64k,8,16,1,316.5713,5065,25.2660,99.8649
nvme-ssd,SCSI,raw,read,64k,8,16,1,2109.0781,33745,3.7915,99.8799
nvme-ssd,SCSI,xfs,read,64k,8,16,1,2034.5830,32553,3.9302,99.8799
nvme-ssd,IDE,raw,read,64k,64,16,1,298.8555,4781,213.8522,99.8633
nvme-ssd,IDE,xfs,read,64k,64,16,1,324.0859,5185,197.2331,99.8683
nvme-ssd,SCSI,raw,read,64k,64,16,1,2107.8965,33726,30.3522,99.9433
nvme-ssd,SCSI,xfs,read,64k,64,16,1,2042.7178,32683,31.3169,99.9399
nvme-ssd,IDE,raw,read,256k,1,16,1,294.5361,1178,13.5783,99.8816
